[2023-07-06 11:23:47] [DEBUG] Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter. 
[2023-07-06 11:23:47] [DEBUG] PooledDataSource forcefully closed/removed all connections. 
[2023-07-06 11:23:47] [DEBUG] PooledDataSource forcefully closed/removed all connections. 
[2023-07-06 11:23:47] [DEBUG] PooledDataSource forcefully closed/removed all connections. 
[2023-07-06 11:23:47] [DEBUG] PooledDataSource forcefully closed/removed all connections. 
[2023-07-06 11:23:47] [DEBUG] Opening JDBC Connection 
[2023-07-06 11:23:47] [DEBUG] Created connection 1827040905. 
[2023-07-06 11:23:47] [DEBUG] Setting autocommit to false on JDBC Connection [oracle.jdbc.driver.T4CConnection@6ce66e89] 
[2023-07-06 11:23:47] [DEBUG] ==>  Preparing: SELECT ADMIN_ID, ADMIN_PW, LAST_LOGIN FROM ADMINS WHERE ADMIN_ID=? AND ADMIN_PW=? 
[2023-07-06 11:23:48] [DEBUG] ==> Parameters: hyeon(String), f6f2ea8f45d8a057c9566a33f99474da2e5c6a6604d736121650e2730c6fb0a3(String) 
[2023-07-06 11:23:48] [TRACE] <==    Columns: ADMIN_ID, ADMIN_PW, LAST_LOGIN 
[2023-07-06 11:23:48] [TRACE] <==        Row: hyeon, f6f2ea8f45d8a057c9566a33f99474da2e5c6a6604d736121650e2730c6fb0a3, 2023-07-05 15:36:58 
[2023-07-06 11:23:48] [DEBUG] <==      Total: 1 
[2023-07-06 11:23:48] [DEBUG] ==>  Preparing: UPDATE ADMINS SET LAST_LOGIN=TO_DATE(?, 'YYYY/MM/DD HH24:MI:SS') WHERE ADMIN_ID=? 
[2023-07-06 11:23:48] [DEBUG] ==> Parameters: 2023-07-06 11:23:47(String), hyeon(String) 
[2023-07-06 11:23:48] [DEBUG] <==    Updates: 1 
[2023-07-06 11:23:48] [DEBUG] Committing JDBC Connection [oracle.jdbc.driver.T4CConnection@6ce66e89] 
[2023-07-06 11:23:49] [DEBUG] Opening JDBC Connection 
[2023-07-06 11:23:49] [DEBUG] Created connection 1959415250. 
[2023-07-06 11:23:49] [DEBUG] Setting autocommit to false on JDBC Connection [oracle.jdbc.driver.T4CConnection@74ca4dd2] 
[2023-07-06 11:23:49] [DEBUG] ==>  Preparing: SELECT EMPLOYEE_ID, FIRST_NAME, LAST_NAME, EMAIL, PHONE_NUMBER, TO_CHAR(HIRE_DATE, 'YYYY-MM-DD') AS HIRE_DATE, j.JOB_ID, SALARY, e.MANAGER_ID, d.DEPARTMENT_ID, DEPARTMENT_NAME, JOB_TITLE FROM (EMP e JOIN DEPT d ON e.DEPARTMENT_ID = d.DEPARTMENT_ID) JOIN JOB2 j ON e.JOB_ID = j.JOB_ID 
[2023-07-06 11:23:49] [DEBUG] ==> Parameters:  
[2023-07-06 11:23:49] [TRACE] <==    Columns: EMPLOYEE_ID, FIRST_NAME, LAST_NAME, EMAIL, PHONE_NUMBER, HIRE_DATE, JOB_ID, SALARY, MANAGER_ID, DEPARTMENT_ID, DEPARTMENT_NAME, JOB_TITLE 
[2023-07-06 11:23:49] [TRACE] <==        Row: 100, Steven, King, SKING, 515.123.4567, 2003-06-17, AD_PRES, 24000, null, 90, Executive, President 
[2023-07-06 11:23:49] [TRACE] <==        Row: 101, Neena, Kochhar, NKOCHHAR, 515.123.4568, 2005-09-21, AD_VP, 17000, 100, 90, Executive, Administration Vice President 
[2023-07-06 11:23:49] [TRACE] <==        Row: 102, Lex, De Haan, LDEHAAN, 515.123.4569, 2001-01-13, AD_VP, 17000, 100, 90, Executive, Administration Vice President 
[2023-07-06 11:23:49] [TRACE] <==        Row: 103, Alexander, Hunold, AHUNOLD, 590.423.4567, 2006-01-03, IT_PROG, 9000, 102, 60, IT, Programmer 
[2023-07-06 11:23:49] [TRACE] <==        Row: 104, Bruce, Ernst, BERNST, 590.423.4568, 2007-05-21, IT_PROG, 6000, 103, 60, IT, Programmer 
[2023-07-06 11:23:49] [TRACE] <==        Row: 105, David, Austin, DAUSTIN, 590.423.4569, 2005-06-25, IT_PROG, 4800, 103, 60, IT, Programmer 
[2023-07-06 11:23:49] [TRACE] <==        Row: 106, Valli, Pataballa, VPATABAL, 590.423.4560, 2006-02-05, IT_PROG, 4800, 103, 60, IT, Programmer 
[2023-07-06 11:23:49] [TRACE] <==        Row: 107, Diana, Lorentz, DLORENTZ, 590.423.5567, 2007-02-07, IT_PROG, 4200, 103, 60, IT, Programmer 
[2023-07-06 11:23:49] [TRACE] <==        Row: 108, Nancy, Greenberg, NGREENBE, 515.124.4569, 2002-08-17, FI_MGR, 12008, 101, 100, Finance, Finance Manager 
[2023-07-06 11:23:49] [TRACE] <==        Row: 109, Daniel, Faviet, DFAVIET, 515.124.4169, 2002-08-16, FI_ACCOUNT, 9000, 108, 100, Finance, Accountant 
[2023-07-06 11:23:49] [TRACE] <==        Row: 110, John, Chen, JCHEN, 515.124.4269, 2005-09-28, FI_ACCOUNT, 8200, 108, 100, Finance, Accountant 
[2023-07-06 11:23:49] [TRACE] <==        Row: 111, Ismael, Sciarra, ISCIARRA, 515.124.4369, 2005-09-30, FI_ACCOUNT, 7700, 108, 100, Finance, Accountant 
[2023-07-06 11:23:49] [TRACE] <==        Row: 112, Jose Manuel, Urman, JMURMAN, 515.124.4469, 2006-03-07, FI_ACCOUNT, 7800, 108, 100, Finance, Accountant 
[2023-07-06 11:23:49] [TRACE] <==        Row: 113, Luis, Popp, LPOPP, 515.124.4567, 2007-12-07, FI_ACCOUNT, 6900, 108, 100, Finance, Accountant 
[2023-07-06 11:23:49] [TRACE] <==        Row: 114, Den, Raphaely, DRAPHEAL, 515.127.4561, 2002-12-07, PU_MAN, 11000, 100, 30, Purchasing, Purchasing Manager 
[2023-07-06 11:23:49] [TRACE] <==        Row: 115, Alexander, Khoo, AKHOO, 515.127.4562, 2003-05-18, PU_CLERK, 3100, 114, 30, Purchasing, Purchasing Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 116, Shelli, Baida, SBAIDA, 515.127.4563, 2005-12-24, PU_CLERK, 2900, 114, 30, Purchasing, Purchasing Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 117, Sigal, Tobias, STOBIAS, 515.127.4564, 2005-07-24, PU_CLERK, 2800, 114, 30, Purchasing, Purchasing Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 118, Guy, Himuro, GHIMURO, 515.127.4565, 2006-11-15, PU_CLERK, 2600, 114, 30, Purchasing, Purchasing Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 119, Karen, Colmenares, KCOLMENA, 515.127.4566, 2007-08-10, PU_CLERK, 2500, 114, 30, Purchasing, Purchasing Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 120, Matthew, Weiss, MWEISS, 650.123.1234, 2004-07-18, ST_MAN, 8000, 100, 50, Shipping, Stock Manager 
[2023-07-06 11:23:49] [TRACE] <==        Row: 121, Adam, Fripp, AFRIPP, 650.123.2234, 2005-04-10, ST_MAN, 8200, 100, 50, Shipping, Stock Manager 
[2023-07-06 11:23:49] [TRACE] <==        Row: 122, Payam, Kaufling, PKAUFLIN, 650.123.3234, 2003-05-01, ST_MAN, 7900, 100, 50, Shipping, Stock Manager 
[2023-07-06 11:23:49] [TRACE] <==        Row: 123, Shanta, Vollman, SVOLLMAN, 650.123.4234, 2005-10-10, ST_MAN, 6500, 100, 50, Shipping, Stock Manager 
[2023-07-06 11:23:49] [TRACE] <==        Row: 124, Kevin, Mourgos, KMOURGOS, 650.123.5234, 2007-11-16, ST_MAN, 5800, 100, 50, Shipping, Stock Manager 
[2023-07-06 11:23:49] [TRACE] <==        Row: 125, Julia, Nayer, JNAYER, 650.124.1214, 2005-07-16, ST_CLERK, 3200, 120, 50, Shipping, Stock Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 126, Irene, Mikkilineni, IMIKKILI, 650.124.1224, 2006-09-28, ST_CLERK, 2700, 120, 50, Shipping, Stock Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 127, James, Landry, JLANDRY, 650.124.1334, 2007-01-14, ST_CLERK, 2400, 120, 50, Shipping, Stock Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 128, Steven, Markle, SMARKLE, 650.124.1434, 2008-03-08, ST_CLERK, 2200, 120, 50, Shipping, Stock Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 129, Laura, Bissot, LBISSOT, 650.124.5234, 2005-08-20, ST_CLERK, 3300, 121, 50, Shipping, Stock Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 130, Mozhe, Atkinson, MATKINSO, 650.124.6234, 2005-10-30, ST_CLERK, 2800, 121, 50, Shipping, Stock Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 131, James, Marlow, JAMRLOW, 650.124.7234, 2005-02-16, ST_CLERK, 2500, 121, 50, Shipping, Stock Clerk 
[2023-07-06 11:23:49] [TRACE] <==        Row: 132, TJ, Olson, TJOLSON, 650.124.8234, 2007-04-10, ST_CLERK, 2100, 121, 50, Shipping, Stock Clerk 
